date,month,store,item,sales
01-01-2023,1,store_1,whole milk,2.632144194
02-01-2023,1,store_1,whole milk,2.673016847
03-01-2023,1,store_1,whole milk,2.722427598
04-01-2023,1,store_1,whole milk,2.739725762
05-01-2023,1,store_1,whole milk,2.874113849
06-01-2023,1,store_1,whole milk,2.891980721
07-01-2023,1,store_1,whole milk,2.999731172
08-01-2023,1,store_1,whole milk,2.454003139
09-01-2023,1,store_1,whole milk,2.713267307
10-01-2023,1,store_1,whole milk,2.691472051
11-01-2023,1,store_1,whole milk,2.812530282
12-01-2023,1,store_1,whole milk,2.866643393
13-01-2023,1,store_1,whole milk,2.935404796
14-01-2023,1,store_1,whole milk,2.932823119
15-01-2023,1,store_1,whole milk,2.478725006
16-01-2023,1,store_1,whole milk,2.733771983
17-01-2023,1,store_1,whole milk,2.664745715
18-01-2023,1,store_1,whole milk,2.773376288
19-01-2023,1,store_1,whole milk,2.797741093
20-01-2023,1,store_1,whole milk,2.936163499
21-01-2023,1,store_1,whole milk,3.025694682
22-01-2023,1,store_1,whole milk,2.575515613
23-01-2023,1,store_1,whole milk,2.751316855
24-01-2023,1,store_1,whole milk,2.694969157
25-01-2023,1,store_1,whole milk,2.791150565
26-01-2023,1,store_1,whole milk,2.848996116
27-01-2023,1,store_1,whole milk,2.915265201
28-01-2023,1,store_1,whole milk,2.903526857
29-01-2023,1,store_1,whole milk,2.452984114
30-01-2023,1,store_1,whole milk,2.783208016
31-01-2023,1,store_1,whole milk,2.761781595
01-02-2023,2,store_1,whole milk,2.932116971
02-02-2023,2,store_1,whole milk,2.974521328
03-02-2023,2,store_1,whole milk,3.066250176
04-02-2023,2,store_1,whole milk,3.090829372
05-02-2023,2,store_1,whole milk,2.658010691
06-02-2023,2,store_1,whole milk,2.86679202
07-02-2023,2,store_1,whole milk,2.806565704
08-02-2023,2,store_1,whole milk,2.898658407
09-02-2023,2,store_1,whole milk,2.94630832
10-02-2023,2,store_1,whole milk,2.975853122
11-02-2023,2,store_1,whole milk,2.971633892
12-02-2023,2,store_1,whole milk,2.675374099
13-02-2023,2,store_1,whole milk,2.830003523
14-02-2023,2,store_1,whole milk,2.859493544
15-02-2023,2,store_1,whole milk,2.889298199
16-02-2023,2,store_1,whole milk,2.944820697
17-02-2023,2,store_1,whole milk,3.068455044
18-02-2023,2,store_1,whole milk,3.058205218
19-02-2023,2,store_1,whole milk,2.64967704
20-02-2023,2,store_1,whole milk,2.887231069
21-02-2023,2,store_1,whole milk,2.842265221
22-02-2023,2,store_1,whole milk,2.874033984
23-02-2023,2,store_1,whole milk,2.918419413
24-02-2023,2,store_1,whole milk,2.987681823
25-02-2023,2,store_1,whole milk,3.045561114
26-02-2023,2,store_1,whole milk,2.62023556
27-02-2023,2,store_1,whole milk,2.79543738
28-02-2023,2,store_1,whole milk,2.847576537
01-03-2023,3,store_1,whole milk,3.071166452
02-03-2023,3,store_1,whole milk,3.121495838
03-03-2023,3,store_1,whole milk,3.1612294
04-03-2023,3,store_1,whole milk,3.24758748
05-03-2023,3,store_1,whole milk,2.874613878
06-03-2023,3,store_1,whole milk,2.977045472
07-03-2023,3,store_1,whole milk,2.974257385
08-03-2023,3,store_1,whole milk,3.048557724
09-03-2023,3,store_1,whole milk,3.108057827
10-03-2023,3,store_1,whole milk,3.149291418
11-03-2023,3,store_1,whole milk,3.205524126
12-03-2023,3,store_1,whole milk,2.849115642
13-03-2023,3,store_1,whole milk,3.026639394
14-03-2023,3,store_1,whole milk,2.973444486
15-03-2023,3,store_1,whole milk,3.112930917
16-03-2023,3,store_1,whole milk,3.127321792
17-03-2023,3,store_1,whole milk,3.185420301
18-03-2023,3,store_1,whole milk,3.278503304
19-03-2023,3,store_1,whole milk,2.86826402
20-03-2023,3,store_1,whole milk,2.975196552
21-03-2023,3,store_1,whole milk,3.004373085
22-03-2023,3,store_1,whole milk,3.075248761
23-03-2023,3,store_1,whole milk,3.148707849
24-03-2023,3,store_1,whole milk,3.218711152
25-03-2023,3,store_1,whole milk,3.221989013
26-03-2023,3,store_1,whole milk,2.876941454
27-03-2023,3,store_1,whole milk,3.036968696
28-03-2023,3,store_1,whole milk,3.017230998
29-03-2023,3,store_1,whole milk,3.058277438
30-03-2023,3,store_1,whole milk,3.116757354
31-03-2023,3,store_1,whole milk,3.225481868
01-01-2023,1,store_1,citrus fruit,3.529632291
02-01-2023,1,store_1,citrus fruit,3.677373483
03-01-2023,1,store_1,citrus fruit,3.717385023
04-01-2023,1,store_1,citrus fruit,3.785602265
05-01-2023,1,store_1,citrus fruit,3.831526949
06-01-2023,1,store_1,citrus fruit,3.918041938
07-01-2023,1,store_1,citrus fruit,3.951074622
08-01-2023,1,store_1,citrus fruit,3.537511952
09-01-2023,1,store_1,citrus fruit,3.742957481
10-01-2023,1,store_1,citrus fruit,3.709910607
11-01-2023,1,store_1,citrus fruit,3.773950238
12-01-2023,1,store_1,citrus fruit,3.806183722
13-01-2023,1,store_1,citrus fruit,3.882266237
14-01-2023,1,store_1,citrus fruit,3.940831831
15-01-2023,1,store_1,citrus fruit,3.524224052
16-01-2023,1,store_1,citrus fruit,3.688713333
